driver,stint,lap,car,lapTime,fuelCorrectedLaptime,calcElapsedTime,calcTimeToLeader,calcGapToLeader,lapsBehind,carLapAsRaceLap,stopCount,stopTime,stoppingLap,totalStopTime,tyres,leaderTimedelta
T. GLOCK,1,1,24,138.523,134.008,138.523,18.836,PIT,0,1,1,35.092,1,35.092,,18.836
T. GLOCK,2,2,24,148.373,143.963,286.896,49.831,49.831,0,2,1,0,0,35.092,,30.995
T. GLOCK,2,3,24,121.395,117.09,408.291,55.204,55.204,0,3,1,0,0,35.092,,5.687
T. GLOCK,2,4,24,120.871,116.671,529.162,59.973,59.973,0,4,1,0,0,35.092,,4.769
T. GLOCK,2,5,24,121.059,116.964,650.221,62.032,62.032,0,5,1,0,0,35.092,,2.059
T. GLOCK,2,6,24,125.72,121.73,775.941,70.671,70.671,0,6,2,13.914,1,49.006,,8.754
T. GLOCK,3,7,24,125.849,121.964,901.79,81.071,81.071,0,7,2,0,0,49.006,,10.698
T. GLOCK,3,8,24,119.965,116.185,1021.755,82.767,82.767,0,8,2,0,0,49.006,,4.318
T. GLOCK,3,9,24,119.318,115.643,1141.073,85.924,85.924,0,9,2,0,0,49.006,,3.157
T. GLOCK,3,10,24,119.456,115.886,1260.529,86.03,86.03,0,10,2,0,0,49.006,,0.106
T. GLOCK,3,11,24,120.079,116.614,1380.608,90.45,90.45,0,11,2,0,0,49.006,,5.163
T. GLOCK,3,12,24,120.736,117.376,1501.344,96.797,96.797,0,12,2,0,0,49.006,,6.347
T. GLOCK,3,13,24,169.699,166.444,1671.043,141.211,141.211,0,13,2,0,0,49.006,,44.414
T. GLOCK,3,14,24,130.023,126.873,1801.066,94.499,94.499,0,14,3,24.204,1,73.21,,-42.344
T. GLOCK,4,15,24,138.888,135.843,1939.954,59.785,59.785,0,15,3,0,0,73.21,,-34.714
T. GLOCK,4,16,24,124.044,121.104,2063.998,13.542,13.542,0,16,3,0,0,73.21,,-46.243
T. GLOCK,4,17,24,118.299,115.464,2182.297,16.577,16.577,0,17,3,0,0,73.21,,3.035
T. GLOCK,4,18,24,118.013,115.283,2300.31,22.003,22.003,0,18,3,0,0,73.21,,5.732
T. GLOCK,4,19,24,119.57,116.945,2419.88,29.599,29.599,0,19,3,0,0,73.21,,7.596
T. GLOCK,4,20,24,118.557,116.037,2538.437,35.824,35.824,0,20,3,0,0,73.21,,6.225
T. GLOCK,4,21,24,118.66,116.245,2657.097,42.037,42.037,0,21,3,0,0,73.21,,6.213
T. GLOCK,4,22,24,118.743,116.433,2775.84,48.194,48.194,0,22,3,0,0,73.21,,6.157
T. GLOCK,4,23,24,119.491,117.286,2895.331,55.025,55.025,0,23,3,0,0,73.21,,6.831
T. GLOCK,4,24,24,119.513,117.413,3014.844,61.486,61.486,0,24,3,0,0,73.21,,6.461
T. GLOCK,4,25,24,119.016,117.021,3133.86,67.557,67.557,0,25,3,0,0,73.21,,6.071
T. GLOCK,4,26,24,118.332,116.442,3252.192,73.016,73.016,0,26,3,0,0,73.21,,5.459
T. GLOCK,4,27,24,119.058,117.273,3371.25,79.138,79.138,0,27,3,0,0,73.21,,6.122
