driver,stint,lap,car,lapTime,fuelCorrectedLaptime,calcElapsedTime,calcTimeToLeader,calcGapToLeader,lapsBehind,carLapAsRaceLap,stopCount,stopTime,stoppingLap,totalStopTime,tyres,leaderTimedelta
T. GLOCK,1,1,24,163.407,160.233,163.407,25.233,25.233,0,1,0,0,0,0,WN,25.233
T. GLOCK,1,2,24,123.699,120.571,287.106,22.013,22.013,0,2,0,0,0,0,WN,-3.22
T. GLOCK,1,3,24,124.886,121.804,411.992,21.596,21.596,0,3,0,0,0,0,WN,-0.417
T. GLOCK,1,4,24,117.89,114.854,529.882,13.771,13.771,0,4,0,0,0,0,WN,-7.825
T. GLOCK,1,5,24,101.067,98.077,630.949,18.663,18.663,0,5,0,0,0,0,WN,4.892
T. GLOCK,1,6,24,100.498,97.554,731.447,24.334,24.334,0,6,0,0,0,0,WN,5.671
T. GLOCK,1,7,24,101.391,98.493,832.838,30.273,30.273,0,7,0,0,0,0,WN,5.939
T. GLOCK,1,8,24,107.898,105.046,940.736,36.447,36.447,0,8,0,0,0,0,WN,6.174
T. GLOCK,1,9,24,112.637,109.831,1053.373,15.912,15.912,0,9,0,0,0,0,WN,-20.535
T. GLOCK,1,10,24,129.793,127.033,1183.166,17.522,17.522,0,10,0,0,0,0,WN,1.61
T. GLOCK,1,11,24,127.091,124.377,1310.257,17.24,17.24,0,11,0,0,0,0,WN,-0.282
T. GLOCK,1,12,24,117.91,115.242,1428.167,13.212,13.212,0,12,0,0,0,0,WN,-4.028
T. GLOCK,1,13,24,99.456,96.834,1527.623,19.78,19.78,0,13,0,0,0,0,WN,6.568
T. GLOCK,1,14,24,99.229,96.653,1626.852,25.677,25.677,0,14,0,0,0,0,WN,5.897
T. GLOCK,1,15,24,100.157,97.627,1727.009,31.561,31.561,0,15,0,0,0,0,WN,5.884
T. GLOCK,1,16,24,99.217,96.733,1826.226,36.684,36.684,0,16,0,0,0,0,WN,5.123
T. GLOCK,1,17,24,99.945,97.507,1926.171,42.354,42.354,0,17,0,0,0,0,WN,5.67
T. GLOCK,1,18,24,101.786,99.394,2027.957,49.504,49.504,0,18,0,0,0,0,WN,7.15
T. GLOCK,1,19,24,113.178,110.832,2141.135,64.369,64.369,0,19,0,0,0,0,WN,14.865
T. GLOCK,1,20,24,118.339,116.039,2259.474,65.773,65.773,0,20,0,0,0,0,WN,9.765
T. GLOCK,1,21,24,111.194,108.94,2370.668,67.78,67.78,0,21,0,0,0,0,WN,4.657
T. GLOCK,1,22,24,109.689,107.481,2480.357,49.262,49.262,0,22,0,0,0,0,WN,-18.518
T. GLOCK,1,23,24,109.039,106.877,2589.396,27.019,27.019,0,23,0,0,0,0,WN,-22.243
T. GLOCK,1,24,24,131.666,129.55,2721.062,21.924,21.924,0,24,0,0,0,0,WN,-5.095
T. GLOCK,1,25,24,417.345,415.275,3138.407,14.117,14.117,0,25,0,0,0,0,WN,-7.807
T. GLOCK,1,26,24,143.991,141.967,3282.398,17.561,17.561,0,26,0,0,0,0,WN,3.444
T. GLOCK,1,27,24,129.02,127.042,3411.418,19.129,19.129,0,27,0,0,0,0,WN,1.568
T. GLOCK,1,28,24,122.528,120.596,3533.946,17.674,17.674,0,28,0,0,0,0,WN,-1.455
T. GLOCK,1,29,24,120.236,118.35,3654.182,15.674,15.674,0,29,0,0,0,0,WN,-2
T. GLOCK,1,30,24,120.291,118.451,3774.473,12.972,12.972,0,30,0,0,0,0,WN,-2.702
T. GLOCK,1,31,24,120.631,118.837,3895.104,11.895,11.895,0,31,0,0,0,0,WN,-1.077
T. GLOCK,1,32,24,122.877,121.129,4017.981,12.477,12.477,0,32,0,0,0,0,WN,0.582
T. GLOCK,1,33,24,122.25,120.548,4140.231,12.693,12.693,0,33,0,0,0,0,WN,0.216
T. GLOCK,1,34,24,134.022,132.366,4274.253,24.868,24.868,0,34,1,24.425,1,24.425,IN,12.175
T. GLOCK,2,35,24,98.552,96.942,4372.805,30.998,30.998,0,35,1,0,0,24.425,IN,6.13
T. GLOCK,2,36,24,96.692,95.128,4469.497,36.246,36.246,0,36,1,0,0,24.425,IN,5.248
T. GLOCK,2,37,24,105.436,103.918,4574.933,31.997,31.997,0,37,1,0,0,24.425,IN,-4.249
T. GLOCK,2,38,24,112.106,110.634,4687.039,13.32,13.32,0,38,1,0,0,24.425,IN,-18.677
T. GLOCK,2,39,24,125.758,124.332,4812.797,13.515,13.515,0,39,1,0,0,24.425,IN,0.195
T. GLOCK,2,40,24,118.106,116.726,4930.903,7.022,7.022,0,40,1,0,0,24.425,IN,-6.493
T. GLOCK,2,41,24,97.103,95.769,5028.006,13.278,13.278,0,41,1,0,0,24.425,IN,6.256
T. GLOCK,2,42,24,95.89,94.602,5123.896,18.857,18.857,0,42,1,0,0,24.425,IN,5.579
T. GLOCK,2,43,24,95.328,94.086,5219.224,24.311,24.311,0,43,1,0,0,24.425,IN,5.454
T. GLOCK,2,44,24,95.335,94.139,5314.559,30.014,30.014,0,44,1,0,0,24.425,IN,5.703
T. GLOCK,2,45,24,93.307,92.157,5407.866,33.801,33.801,0,45,1,0,0,24.425,IN,3.787
T. GLOCK,2,46,24,92.422,91.318,5500.288,37.375,37.375,0,46,1,0,0,24.425,IN,3.574
T. GLOCK,2,47,24,93.464,92.406,5593.752,42.734,42.734,0,47,1,0,0,24.425,IN,5.359
T. GLOCK,2,48,24,92.853,91.841,5686.605,47.663,47.663,0,48,1,0,0,24.425,IN,4.929
T. GLOCK,2,49,24,92.102,91.136,5778.707,52.563,52.563,0,49,1,0,0,24.425,IN,4.9
T. GLOCK,2,50,24,92.107,91.187,5870.814,57.659,57.659,0,50,1,0,0,24.425,IN,5.096
T. GLOCK,2,51,24,109.777,108.903,5980.591,81.005,81.005,0,51,2,25.079,1,49.504,SSN,23.346
T. GLOCK,3,52,24,104.317,103.489,6084.908,97.968,97.968,0,52,2,0,0,49.504,SSN,16.963
T. GLOCK,3,53,24,89.314,88.532,6174.222,85.569,85.569,0,53,2,0,0,49.504,SSN,-12.399
T. GLOCK,3,54,24,92.647,91.911,6266.869,0.56,85.351,1,55,2,0,0,49.504,SSN,7.856
T. GLOCK,3,55,24,93.929,93.239,6360.798,12.17,94.489,1,56,2,0,0,49.504,SSN,11.61
T. GLOCK,3,56,24,99.908,99.264,6460.706,15.98,112.078,1,57,2,0,0,49.504,SSN,3.81
T. GLOCK,3,57,24,106.832,106.234,6567.538,8.859,122.812,1,58,2,0,0,49.504,SSN,-7.121
T. GLOCK,3,58,24,120.348,119.796,6687.886,3.102,129.207,1,59,2,0,0,49.504,SSN,-5.757
T. GLOCK,3,59,24,121.223,120.717,6809.109,3.682,124.325,1,60,2,0,0,49.504,SSN,0.58
T. GLOCK,3,60,24,88.761,88.301,6897.87,11.291,92.443,1,61,2,0,0,49.504,SSN,7.609
T. GLOCK,3,61,24,89.752,89.338,6987.622,20.593,101.043,1,62,2,0,0,49.504,SSN,9.302
