driver,stint,lap,car,lapTime,fuelCorrectedLaptime,calcElapsedTime,calcTimeToLeader,calcGapToLeader,lapsBehind,carLapAsRaceLap,stopCount,stopTime,stoppingLap,totalStopTime,tyres,leaderTimedelta
T. GLOCK,1,1,24,122.674,117.802,122.674,12.354,12.354,0,1,0,0,0,0,SN,12.354
T. GLOCK,1,2,24,110.982,106.197,233.656,17.87,17.87,0,2,0,0,0,0,SN,5.516
T. GLOCK,1,3,24,111.002,106.304,344.658,23.686,23.686,0,3,0,0,0,0,SN,5.816
T. GLOCK,1,4,24,111.259,106.648,455.917,29.457,29.457,0,4,0,0,0,0,SN,5.771
T. GLOCK,1,5,24,110.916,106.392,566.833,35.213,35.213,0,5,0,0,0,0,SN,5.756
T. GLOCK,1,6,24,110.199,105.762,677.032,40.379,40.379,0,6,0,0,0,0,SN,5.166
T. GLOCK,1,7,24,110.439,106.089,787.471,46.106,46.106,0,7,0,0,0,0,SN,5.727
T. GLOCK,1,8,24,109.813,105.55,897.284,50.769,50.769,0,8,0,0,0,0,SN,4.663
T. GLOCK,1,9,24,109.882,105.706,1007.166,55.621,55.621,0,9,0,0,0,0,SN,4.852
T. GLOCK,1,10,24,109.736,105.647,1116.902,60.302,60.302,0,10,0,0,0,0,SN,4.681
T. GLOCK,1,11,24,109.386,105.384,1226.288,64.419,64.419,0,11,0,0,0,0,SN,4.117
T. GLOCK,1,12,24,109.39,105.475,1335.678,68.494,68.494,0,12,0,0,0,0,SN,4.075
T. GLOCK,1,13,24,109.717,105.889,1445.395,71.853,71.853,0,13,0,0,0,0,SN,3.359
T. GLOCK,1,14,24,109.354,105.613,1554.749,66.657,66.657,0,14,0,0,0,0,SN,2.723
T. GLOCK,1,15,24,109.917,106.263,1664.666,60.406,60.406,0,15,0,0,0,0,SN,-5.956
T. GLOCK,1,16,24,110.429,106.862,1775.095,66.277,66.277,0,16,0,0,0,0,SN,5.871
T. GLOCK,1,17,24,124.783,121.303,1899.878,86.511,86.511,0,17,1,21.9,1,21.9,SU,20.234
T. GLOCK,2,18,24,114.84,111.447,2014.718,97.243,97.243,0,18,1,0,0,21.9,SU,10.732
T. GLOCK,2,19,24,108.396,105.09,2123.114,101.332,101.332,0,19,1,0,0,21.9,SU,4.089
T. GLOCK,2,20,24,112.111,108.892,2235.225,5.129,109.32,1,21,1,0,0,21.9,SU,7.92
T. GLOCK,2,21,24,109.823,106.691,2345.048,11.048,114.952,1,22,1,0,0,21.9,SU,5.919
T. GLOCK,2,22,24,109.275,106.23,2454.323,16.668,120.323,1,23,1,0,0,21.9,SU,5.62
T. GLOCK,2,23,24,107.726,104.768,2562.049,20.995,124.394,1,24,1,0,0,21.9,SU,4.327
T. GLOCK,2,24,24,109.039,106.168,2671.088,26.235,130.034,1,25,1,0,0,21.9,SU,5.24
T. GLOCK,2,25,24,107.787,105.003,2778.875,30.279,134.022,1,26,1,0,0,21.9,SU,4.044
T. GLOCK,2,26,24,108.941,106.244,2887.816,35.363,139.22,1,27,1,0,0,21.9,SU,5.084
T. GLOCK,2,27,24,107.616,105.006,2995.432,38.943,142.979,1,28,1,0,0,21.9,SU,3.58
T. GLOCK,2,28,24,107.46,104.937,3102.892,42.276,146.403,1,29,1,0,0,21.9,SU,3.333
T. GLOCK,2,29,24,107.317,104.881,3210.209,36.766,149.593,1,30,1,0,0,21.9,SU,-5.51
T. GLOCK,2,30,24,108.703,106.354,3318.912,31.114,145.469,1,31,1,0,0,21.9,SU,-5.652
T. GLOCK,2,31,24,107.578,105.316,3426.49,36.201,138.692,1,32,1,0,0,21.9,SU,5.087
