driver,stint,lap,car,lapTime,fuelCorrectedLaptime,calcElapsedTime,calcTimeToLeader,calcGapToLeader,lapsBehind,carLapAsRaceLap,stopCount,stopTime,stoppingLap,totalStopTime,tyres,leaderTimedelta
T. GLOCK,1,1,24,112.974,107.605,112.974,11.549,11.549,0,1,0,0,0,0,,11.549
T. GLOCK,1,2,24,103.617,98.339,216.591,16.325,16.325,0,2,0,0,0,0,,4.776
T. GLOCK,1,3,24,103.003,97.816,319.594,20.687,20.687,0,3,0,0,0,0,,4.362
T. GLOCK,1,4,24,103.184,98.088,422.778,25.55,25.55,0,4,0,0,0,0,,4.863
T. GLOCK,1,5,24,103.522,98.517,526.3,30.796,30.796,0,5,0,0,0,0,,5.246
T. GLOCK,1,6,24,102.153,97.239,628.453,34.906,34.906,0,6,0,0,0,0,,4.11
T. GLOCK,1,7,24,102.141,97.318,730.594,39.004,39.004,0,7,0,0,0,0,,4.098
T. GLOCK,1,8,24,102.276,97.544,832.87,43.251,43.251,0,8,0,0,0,0,,4.247
T. GLOCK,1,9,24,102.709,98.068,935.579,47.682,47.682,0,9,0,0,0,0,,4.431
T. GLOCK,1,10,24,102.541,97.991,1038.12,52.005,52.005,0,10,0,0,0,0,,4.323
T. GLOCK,1,11,24,102.636,98.177,1140.756,55.932,55.932,0,11,0,0,0,0,,3.927
T. GLOCK,1,12,24,102.476,98.108,1243.232,58.858,58.858,0,12,0,0,0,0,,3.494
T. GLOCK,1,13,24,102.455,98.178,1345.687,61.884,61.884,0,13,0,0,0,0,,3.143
T. GLOCK,1,14,24,102.665,98.479,1448.352,65.774,65.774,0,14,0,0,0,0,,3.89
T. GLOCK,1,15,24,101.856,97.761,1550.208,69.529,69.529,0,15,0,0,0,0,,3.755
T. GLOCK,1,16,24,102.101,98.097,1652.309,71.121,71.121,0,16,0,0,0,0,,1.592
T. GLOCK,1,17,24,102.152,98.239,1754.461,58.19,58.19,0,17,0,0,0,0,,3.484
T. GLOCK,1,18,24,102.632,98.81,1857.093,63.875,63.875,0,18,0,0,0,0,,5.685
T. GLOCK,1,19,24,102.03,98.299,1959.123,68.958,68.958,0,19,0,0,0,0,,5.083
T. GLOCK,1,20,24,101.838,98.198,2060.961,74.211,74.211,0,20,0,0,0,0,,5.253
T. GLOCK,1,21,24,102.113,98.564,2163.074,79.773,79.773,0,21,0,0,0,0,,5.562
T. GLOCK,1,22,24,104.194,100.736,2267.268,87.435,87.435,0,22,1,22.252,1,22.252,,7.662
T. GLOCK,2,23,24,120.755,117.388,2388.023,15.275,111.81,1,24,1,0,0,22.252,,24.22
T. GLOCK,2,24,24,100.573,97.297,2488.596,19.291,115.848,1,25,1,0,0,22.252,,4.016
T. GLOCK,2,25,24,100.143,96.958,2588.739,22.947,119.434,1,26,1,0,0,22.252,,3.656
T. GLOCK,2,26,24,101.351,98.257,2690.09,27.57,124.298,1,27,1,0,0,22.252,,4.623
T. GLOCK,2,27,24,102.033,99.03,2792.123,33.045,129.603,1,28,1,0,0,22.252,,5.475
T. GLOCK,2,28,24,100.513,97.601,2892.636,36.518,133.558,1,29,1,0,0,22.252,,3.473
T. GLOCK,2,29,24,100.599,97.778,2993.235,39.607,136.23,1,30,1,0,0,22.252,,3.976
T. GLOCK,2,30,24,102.042,99.312,3095.277,44.422,141.024,1,31,1,0,0,22.252,,5.44
T. GLOCK,2,31,24,102.221,99.582,3197.498,48.362,146.643,1,32,1,0,0,22.252,,3.94
T. GLOCK,2,32,24,100.565,98.017,3298.063,37.425,132.649,1,33,1,0,0,22.252,,5.341
T. GLOCK,2,33,24,100.448,97.991,3398.511,42.756,137.873,1,34,1,0,0,22.252,,5.331
T. GLOCK,2,34,24,100.291,97.925,3498.802,47.964,143.047,1,35,1,0,0,22.252,,5.208
T. GLOCK,2,35,24,100.321,98.046,3599.123,53.222,148.285,1,36,1,0,0,22.252,,5.258
T. GLOCK,2,36,24,103.315,101.131,3702.438,61.25,156.537,1,37,1,0,0,22.252,,8.028
T. GLOCK,2,37,24,101.445,99.352,3803.883,67.329,162.695,1,38,1,0,0,22.252,,6.079
T. GLOCK,2,38,24,100.501,98.499,3904.384,72.617,167.83,1,39,1,0,0,22.252,,5.288
T. GLOCK,2,39,24,100.274,98.363,4004.658,77.44,172.891,1,40,1,0,0,22.252,,4.823
T. GLOCK,2,40,24,101.913,100.093,4106.571,83.867,179.353,1,41,1,0,0,22.252,,6.427
T. GLOCK,2,41,24,102.74,101.011,4209.311,91.315,186.607,1,42,1,0,0,22.252,,7.448
T. GLOCK,2,42,24,103.491,101.853,4312.802,3.69,194.806,2,44,1,0,0,22.252,,7.656
T. GLOCK,2,43,24,101.31,99.763,4414.112,9.517,200.835,2,45,1,0,0,22.252,,5.827
T. GLOCK,2,44,24,100.596,99.14,4514.708,14.695,205.596,2,46,1,0,0,22.252,,5.178
T. GLOCK,2,45,24,101.674,100.309,4616.382,21.039,211.787,2,47,1,0,0,22.252,,6.344
T. GLOCK,2,46,24,104.909,103.635,4721.291,30.659,221.278,2,48,1,0,0,22.252,,9.62
