driver,stint,lap,car,lapTime,fuelCorrectedLaptime,calcElapsedTime,calcTimeToLeader,calcGapToLeader,lapsBehind,carLapAsRaceLap,stopCount,stopTime,stoppingLap,totalStopTime,tyres,leaderTimedelta
T. GLOCK,1,1,24,127.271,122.079,127.271,12.618,12.618,0,1,0,0,0,0,,12.618
T. GLOCK,1,2,24,115.808,110.691,243.079,18.565,18.565,0,2,0,0,0,0,,5.947
T. GLOCK,1,3,24,110.873,105.831,353.952,21.654,21.654,0,3,0,0,0,0,,3.089
T. GLOCK,1,4,24,110.406,105.44,464.358,27.049,27.049,0,4,0,0,0,0,,5.395
T. GLOCK,1,5,24,108.459,103.568,572.817,31.28,31.28,0,5,0,0,0,0,,4.723
T. GLOCK,1,6,24,108.241,103.425,681.058,37.307,37.307,0,6,0,0,0,0,,6.027
T. GLOCK,1,7,24,108.097,103.356,789.155,44.117,44.117,0,7,0,0,0,0,,6.81
T. GLOCK,1,8,24,106.689,102.023,895.844,50.362,50.362,0,8,0,0,0,0,,6.245
T. GLOCK,1,9,24,106.016,101.426,1001.86,55.824,55.824,0,9,0,0,0,0,,5.462
T. GLOCK,1,10,24,105.544,101.029,1107.404,60.673,60.673,0,10,0,0,0,0,,4.849
T. GLOCK,1,11,24,108.228,103.788,1215.632,69.147,69.147,0,11,1,22.222,1,22.222,,8.474
T. GLOCK,2,12,24,124.879,120.514,1340.511,92.897,92.897,0,12,1,0,0,22.222,,23.75
T. GLOCK,2,13,24,98.18,93.891,1438.691,71.852,71.852,0,13,1,0,0,22.222,,-21.045
T. GLOCK,2,14,24,96.398,92.184,1535.089,76.616,76.616,0,14,1,0,0,22.222,,4.764
T. GLOCK,2,15,24,94.165,90.026,1629.254,81.307,81.307,0,15,1,0,0,22.222,,4.691
T. GLOCK,2,16,24,92.78,88.716,1722.034,85.194,85.194,0,16,1,0,0,22.222,,3.887
T. GLOCK,2,17,24,94.579,90.591,1816.613,2.455,90.719,1,18,1,0,0,22.222,,6.315
T. GLOCK,2,18,24,92.53,88.617,1909.143,6.77,94.985,1,19,1,0,0,22.222,,4.315
T. GLOCK,2,19,24,94.227,90.389,2003.37,13.146,100.997,1,20,1,0,0,22.222,,6.376
T. GLOCK,2,20,24,92.15,88.388,2095.52,17.06,105.296,1,21,1,0,0,22.222,,3.914
T. GLOCK,2,21,24,94.109,90.422,2189.629,23.272,111.169,1,22,1,0,0,22.222,,6.212
T. GLOCK,2,22,24,91.916,88.304,2281.545,26.897,115.188,1,23,1,0,0,22.222,,3.625
T. GLOCK,2,23,24,92.024,88.487,2373.569,30.446,118.921,1,24,1,0,0,22.222,,3.549
T. GLOCK,2,24,24,92.359,88.897,2465.928,33.055,122.805,1,25,1,0,0,22.222,,2.609
T. GLOCK,2,25,24,94.19,90.804,2560.118,36.004,127.245,1,26,1,0,0,22.222,,2.949
T. GLOCK,2,26,24,93.094,89.783,2653.212,35.917,127.484,1,27,1,0,0,22.222,,1.527
T. GLOCK,2,27,24,93.019,89.783,2746.231,35.549,127.444,1,28,1,0,0,22.222,,1.124
T. GLOCK,2,28,24,94.036,90.876,2840.267,38.825,126.013,1,29,2,20.613,1,42.835,,6.848
T. GLOCK,3,29,24,110.331,107.246,2950.598,62.564,149.156,1,30,2,0,0,42.835,,23.739
T. GLOCK,3,30,24,91.164,88.154,3041.762,66.565,153.728,1,31,2,0,0,42.835,,4.001
T. GLOCK,3,31,24,95.445,92.51,3137.207,74.68,162.01,1,32,2,0,0,42.835,,8.115
T. GLOCK,3,32,24,90.71,87.85,3227.917,78.246,165.39,1,33,2,0,0,42.835,,3.566
T. GLOCK,3,33,24,90.617,87.833,3318.534,82.233,168.863,1,34,2,0,0,42.835,,3.987
T. GLOCK,3,34,24,91.54,88.831,3410.074,0.771,173.773,2,36,2,0,0,42.835,,5.023
T. GLOCK,3,35,24,90.008,87.374,3500.082,4.092,177.296,2,37,2,0,0,42.835,,3.321
T. GLOCK,3,36,24,90.852,88.294,3590.934,7.759,181.631,2,38,2,0,0,42.835,,3.667
T. GLOCK,3,37,24,90.22,87.737,3681.154,9.347,185.164,2,39,2,0,0,42.835,,1.588
T. GLOCK,3,38,24,92.705,90.297,3773.859,11.089,190.684,2,40,2,0,0,42.835,,1.742
T. GLOCK,3,39,24,90.811,88.478,3864.67,11.88,186.883,2,41,2,0,0,42.835,,3.538
T. GLOCK,3,40,24,92.249,89.992,3956.919,15.754,191.402,2,42,2,0,0,42.835,,3.874
T. GLOCK,3,41,24,94.252,92.07,4051.171,15.252,185.527,2,43,2,0,0,42.835,,9.265
T. GLOCK,3,42,24,91.819,89.712,4142.99,21.501,192.058,2,44,2,0,0,42.835,,6.249
T. GLOCK,3,43,24,90.343,88.311,4233.333,25.967,197.414,2,45,2,0,0,42.835,,4.466
T. GLOCK,3,44,24,92.811,90.855,4326.144,32.132,204.655,2,46,2,0,0,42.835,,6.165
T. GLOCK,3,45,24,97.677,95.796,4423.821,31.508,210.122,2,47,2,0,0,42.835,,5.029
T. GLOCK,3,46,24,95.374,93.568,4519.195,38.23,219.53,2,48,2,0,0,42.835,,6.722
T. GLOCK,3,47,24,94.151,92.42,4613.346,45.544,221.033,2,49,2,0,0,42.835,,7.314
T. GLOCK,3,48,24,110.099,108.444,4723.445,61.291,242.48,2,50,2,0,0,42.835,,15.747
T. GLOCK,3,49,24,108.759,107.179,4832.204,68.98,262.735,2,51,2,0,0,42.835,,8.311
T. GLOCK,3,50,24,102.297,100.792,4934.501,75.712,272.347,2,52,2,0,0,42.835,,6.918
T. GLOCK,3,51,24,99.656,98.226,5034.157,85.488,270.747,2,53,2,0,0,42.835,,9.776
T. GLOCK,3,52,24,96.542,95.188,5130.699,6.553,271.91,3,55,2,0,0,42.835,,9.918
T. GLOCK,3,53,24,94.912,93.633,5225.611,15.53,276.942,3,56,3,20.929,1,63.764,,8.977
T. GLOCK,4,54,24,112.749,111.545,5338.36,43.083,300.838,3,57,3,0,0,63.764,,27.553
T. GLOCK,4,55,24,89.096,87.967,5427.456,48.242,303.31,3,58,3,0,0,63.764,,5.159
T. GLOCK,4,56,24,89.359,88.305,5516.815,53.263,306.734,3,59,3,0,0,63.764,,5.021
T. GLOCK,4,57,24,90.999,90.021,5607.814,58.934,312.537,3,60,3,0,0,63.764,,5.671
T. GLOCK,4,58,24,88.119,87.216,5695.933,62.27,316.719,3,61,3,0,0,63.764,,3.336
T. GLOCK,4,59,24,88.022,87.194,5783.955,66.057,320.403,3,62,3,0,0,63.764,,3.787
T. GLOCK,4,60,24,88.716,87.963,5872.671,69.852,323.791,3,63,3,0,0,63.764,,3.795
T. GLOCK,4,61,24,89.271,88.594,5961.942,73.996,328.279,3,64,3,0,0,63.764,,4.144
T. GLOCK,4,62,24,89.547,88.945,6051.489,78.366,333.591,3,65,3,0,0,63.764,,4.37
T. GLOCK,4,63,24,92.738,92.211,6144.227,0.662,341.408,4,67,3,0,0,63.764,,7.334
T. GLOCK,4,64,24,89.885,89.434,6234.112,5.287,346.166,4,68,3,0,0,63.764,,4.625
T. GLOCK,4,65,24,91.512,91.136,6325.624,10.958,352.501,4,69,3,0,0,63.764,,5.671
T. GLOCK,4,66,24,92.555,92.254,6418.179,15.842,360.018,4,70,3,0,0,63.764,,4.884
J. D'AMBROSIO,1,1,25,130.149,124.957,130.149,15.496,15.496,0,1,0,0,0,0,,15.496
J. D'AMBROSIO,1,2,25,115.738,110.621,245.887,21.373,21.373,0,2,0,0,0,0,,5.877
J. D'AMBROSIO,1,3,25,112.806,107.764,358.693,26.395,26.395,0,3,0,0,0,0,,5.022
J. D'AMBROSIO,1,4,25,109.734,104.767,468.427,31.118,31.118,0,4,0,0,0,0,,4.723
J. D'AMBROSIO,1,5,25,108.724,103.833,577.151,35.614,35.614,0,5,0,0,0,0,,4.988
J. D'AMBROSIO,1,6,25,107.788,102.972,684.939,41.188,41.188,0,6,0,0,0,0,,5.574
J. D'AMBROSIO,1,7,25,108.487,103.746,793.426,48.388,48.388,0,7,0,0,0,0,,7.2
J. D'AMBROSIO,1,8,25,106.314,101.648,899.74,54.258,54.258,0,8,0,0,0,0,,5.87
J. D'AMBROSIO,1,9,25,106.246,101.656,1005.986,59.95,59.95,0,9,0,0,0,0,,5.692
J. D'AMBROSIO,1,10,25,105.707,101.192,1111.693,64.962,64.962,0,10,0,0,0,0,,5.012
J. D'AMBROSIO,1,11,25,109.01,104.57,1220.703,74.218,74.218,0,11,1,25.337,1,25.337,,9.256
J. D'AMBROSIO,2,12,25,126.686,122.322,1347.389,99.775,99.775,0,12,1,0,0,25.337,,25.557
J. D'AMBROSIO,2,13,25,97.727,93.438,1445.116,78.277,78.277,0,13,1,0,0,25.337,,-21.498
J. D'AMBROSIO,2,14,25,95.936,91.722,1541.052,82.579,82.579,0,14,1,0,0,25.337,,4.302
J. D'AMBROSIO,2,15,25,95.296,91.157,1636.348,88.401,88.401,0,15,1,0,0,25.337,,5.822
J. D'AMBROSIO,2,16,25,95.483,91.419,1731.831,5.937,94.991,1,17,1,0,0,25.337,,6.429
J. D'AMBROSIO,2,17,25,95.823,91.835,1827.654,13.496,101.76,1,18,1,0,0,25.337,,7.559
J. D'AMBROSIO,2,18,25,95.637,91.724,1923.291,20.918,109.133,1,19,1,0,0,25.337,,7.422
J. D'AMBROSIO,2,19,25,93.301,89.463,2016.592,26.368,114.219,1,20,1,0,0,25.337,,5.45
J. D'AMBROSIO,2,20,25,92.637,88.874,2109.229,30.769,119.005,1,21,1,0,0,25.337,,4.401
J. D'AMBROSIO,2,21,25,92.749,89.062,2201.978,35.621,123.518,1,22,1,0,0,25.337,,4.852
J. D'AMBROSIO,2,22,25,95.03,91.418,2297.008,42.36,130.651,1,23,1,0,0,25.337,,6.739
J. D'AMBROSIO,2,23,25,94.663,91.126,2391.671,48.548,137.023,1,24,1,0,0,25.337,,6.188
J. D'AMBROSIO,2,24,25,93.557,90.096,2485.228,52.355,142.105,1,25,1,0,0,25.337,,3.807
