driver,stint,lap,car,lapTime,fuelCorrectedLaptime,calcElapsedTime,calcTimeToLeader,calcGapToLeader,lapsBehind,carLapAsRaceLap,stopCount,stopTime,stoppingLap,totalStopTime,tyres,leaderTimedelta
T. GLOCK,1,1,24,116.549,110.974,116.549,21.668,PIT,0,1,1,27.378,1,27.378,,21.668
T. GLOCK,2,2,24,129.008,123.527,245.557,56.938,56.938,0,2,1,0,0,27.378,,35.27
J. D'AMBROSIO,1,1,25,108.368,102.792,108.368,13.487,13.487,0,1,0,0,0,0,,13.487
J. D'AMBROSIO,1,2,25,99.964,94.483,208.332,19.713,19.713,0,2,0,0,0,0,,6.226
J. D'AMBROSIO,1,3,25,97.93,92.544,306.262,24.873,24.873,0,3,0,0,0,0,,5.16
J. D'AMBROSIO,1,4,25,96.589,91.297,402.851,29.085,29.085,0,4,0,0,0,0,,4.212
J. D'AMBROSIO,1,5,25,96.548,91.35,499.399,32.93,32.93,0,5,0,0,0,0,,3.845
J. D'AMBROSIO,1,6,25,95.86,90.757,595.259,36.956,36.956,0,6,0,0,0,0,,4.026
J. D'AMBROSIO,1,7,25,96.01,91.002,691.269,41.327,41.327,0,7,0,0,0,0,,4.371
J. D'AMBROSIO,1,8,25,95.457,90.543,786.726,45.476,45.476,0,8,0,0,0,0,,4.149
J. D'AMBROSIO,1,9,25,97.663,92.843,884.389,51.675,51.675,0,9,0,0,0,0,,6.199
J. D'AMBROSIO,1,10,25,95.667,90.942,980.056,56.037,56.037,0,10,0,0,0,0,,4.362
J. D'AMBROSIO,1,11,25,95.436,90.806,1075.492,60.138,60.138,0,11,0,0,0,0,,4.101
J. D'AMBROSIO,1,12,25,95.338,90.802,1170.83,64.204,64.204,0,12,0,0,0,0,,4.066
J. D'AMBROSIO,1,13,25,95.484,91.042,1266.314,68.448,68.448,0,13,0,0,0,0,,4.244
J. D'AMBROSIO,1,14,25,95.213,90.866,1361.527,72.976,72.976,0,14,0,0,0,0,,4.528
J. D'AMBROSIO,1,15,25,95.012,90.76,1456.539,77.105,77.105,0,15,0,0,0,0,,4.129
J. D'AMBROSIO,1,16,25,95.181,91.023,1551.72,81.65,81.65,0,16,0,0,0,0,,4.545
J. D'AMBROSIO,1,17,25,94.96,90.896,1646.68,86.212,86.212,0,17,0,0,0,0,,4.562
J. D'AMBROSIO,1,18,25,95.089,91.12,1741.769,90.751,90.751,0,18,0,0,0,0,,4.539
J. D'AMBROSIO,1,19,25,95.131,91.257,1836.9,92.209,92.209,0,19,0,0,0,0,,1.458
J. D'AMBROSIO,1,20,25,95.338,91.558,1932.238,78.835,78.835,0,20,0,0,0,0,,-13.374
J. D'AMBROSIO,1,21,25,95.19,91.504,2027.428,83.967,83.967,0,21,0,0,0,0,,5.132
J. D'AMBROSIO,1,22,25,98.049,94.458,2125.477,1.871,92.094,1,23,1,22.687,1,22.687,,7.826
J. D'AMBROSIO,2,23,25,116.357,112.861,2241.834,28.251,118.228,1,24,1,0,0,22.687,,26.38
J. D'AMBROSIO,2,24,25,94.758,91.356,2336.592,33.093,123.009,1,25,1,0,0,22.687,,4.842
J. D'AMBROSIO,2,25,25,95.697,92.389,2432.289,38.521,128.79,1,26,1,0,0,22.687,,5.428
J. D'AMBROSIO,2,26,25,94.298,91.085,2526.587,42.574,132.819,1,27,1,0,0,22.687,,4.053
J. D'AMBROSIO,2,27,25,94.562,91.444,2621.149,47.356,137.136,1,28,1,0,0,22.687,,4.782
J. D'AMBROSIO,2,28,25,94.352,91.328,2715.501,52.198,141.708,1,29,1,0,0,22.687,,4.842
J. D'AMBROSIO,2,29,25,93.766,90.837,2809.267,56.574,145.964,1,30,1,0,0,22.687,,4.376
J. D'AMBROSIO,2,30,25,94.501,91.666,2903.768,61.789,151.075,1,31,1,0,0,22.687,,5.215
J. D'AMBROSIO,2,31,25,94.414,91.674,2998.182,67.191,156.203,1,32,1,0,0,22.687,,5.402
J. D'AMBROSIO,2,32,25,93.798,91.152,3091.98,71.823,160.989,1,33,1,0,0,22.687,,4.632
