driver,stint,lap,car,lapTime,fuelCorrectedLaptime,calcElapsedTime,calcTimeToLeader,calcGapToLeader,lapsBehind,carLapAsRaceLap,stopCount,stopTime,stoppingLap,totalStopTime,tyres,leaderTimedelta
T. GLOCK,1,1,24,132.063,129.151,132.063,12.479,12.479,0,1,0,0,0,0,,12.479
T. GLOCK,1,2,24,143.1,140.244,275.163,13.588,13.588,0,2,0,0,0,0,,1.109
T. GLOCK,1,3,24,131.848,129.048,407.011,6.043,6.043,0,3,0,0,0,0,,-7.545
T. GLOCK,1,4,24,95.548,92.804,502.559,10.753,10.753,0,4,0,0,0,0,,4.71
T. GLOCK,1,5,24,95.753,93.065,598.312,16.044,16.044,0,5,0,0,0,0,,5.669
T. GLOCK,1,6,24,93.564,90.932,691.876,20.012,20.012,0,6,0,0,0,0,,3.968
T. GLOCK,1,7,24,93.335,90.759,785.211,24.501,24.501,0,7,0,0,0,0,,4.489
T. GLOCK,1,8,24,93.031,90.511,878.242,28.984,28.984,0,8,0,0,0,0,,4.483
T. GLOCK,1,9,24,92.906,90.442,971.148,33.434,33.434,0,9,0,0,0,0,,4.45
T. GLOCK,1,10,24,93.493,91.085,1064.641,38.59,38.59,0,10,0,0,0,0,,5.156
T. GLOCK,1,11,24,92.997,90.645,1157.638,42.998,42.998,0,11,0,0,0,0,,4.408
T. GLOCK,1,12,24,92.384,90.088,1250.022,46.73,46.73,0,12,0,0,0,0,,3.732
T. GLOCK,1,13,24,92.173,89.933,1342.195,50.682,50.682,0,13,0,0,0,0,,3.952
T. GLOCK,1,14,24,92.502,90.318,1434.697,54.682,54.682,0,14,0,0,0,0,,4
T. GLOCK,1,15,24,93.195,91.067,1527.892,59.292,59.292,0,15,0,0,0,0,,4.61
T. GLOCK,1,16,24,93.456,91.384,1621.348,63.824,63.824,0,16,0,0,0,0,,4.532
T. GLOCK,1,17,24,92.885,90.869,1714.233,68.045,68.045,0,17,0,0,0,0,,4.221
T. GLOCK,1,18,24,93.389,91.429,1807.622,72.692,72.692,0,18,0,0,0,0,,4.647
T. GLOCK,1,19,24,93.066,91.162,1900.688,76.931,76.931,0,19,0,0,0,0,,4.239
T. GLOCK,1,20,24,96.831,94.983,1997.519,81.026,81.026,0,20,1,25.147,1,25.147,,4.095
T. GLOCK,2,21,24,114.988,113.196,2112.507,1.199,89.127,1,22,1,0,0,25.147,,27.06
T. GLOCK,2,22,24,92.764,91.028,2205.271,6.081,93.963,1,23,1,0,0,25.147,,4.882
T. GLOCK,2,23,24,92.32,90.64,2297.591,10.343,98.401,1,24,1,0,0,25.147,,4.262
T. GLOCK,2,24,24,94.03,92.406,2391.621,16.396,104.373,1,25,1,0,0,25.147,,6.053
T. GLOCK,2,25,24,92.193,90.625,2483.814,21.029,108.589,1,26,1,0,0,25.147,,4.633
T. GLOCK,2,26,24,93.228,91.716,2577.042,26.584,114.257,1,27,1,0,0,25.147,,5.555
T. GLOCK,2,27,24,91.486,90.03,2668.528,30.584,118.07,1,28,1,0,0,25.147,,4
T. GLOCK,2,28,24,91.698,90.298,2760.226,34.728,122.282,1,29,1,0,0,25.147,,4.144
T. GLOCK,2,29,24,92.03,90.686,2852.256,39.525,126.758,1,30,1,0,0,25.147,,4.797
T. GLOCK,2,30,24,91.417,90.129,2943.673,43.653,130.942,1,31,1,0,0,25.147,,4.128
T. GLOCK,2,31,24,91.248,90.016,3034.921,47.404,134.901,1,32,1,0,0,25.147,,3.751
T. GLOCK,2,32,24,91.665,90.489,3126.586,51.977,139.069,1,33,1,0,0,25.147,,4.573
T. GLOCK,2,33,24,91.699,90.579,3218.285,55.917,143.676,1,34,1,0,0,25.147,,3.94
T. GLOCK,2,34,24,91.597,90.533,3309.882,56.301,147.514,1,35,1,0,0,25.147,,0.384
T. GLOCK,2,35,24,91.44,90.432,3401.322,41.382,147.741,1,36,1,0,0,25.147,,-14.919
T. GLOCK,2,36,24,91.416,90.464,3492.738,44.941,132.798,1,37,1,0,0,25.147,,3.559
T. GLOCK,2,37,24,91.016,90.12,3583.754,48.799,135.957,1,38,1,0,0,25.147,,3.858
T. GLOCK,2,38,24,94.146,93.306,3677.9,55.941,142.945,1,39,2,22.784,1,47.931,,7.142
T. GLOCK,3,39,24,111.243,110.459,3789.143,80.126,167.184,1,40,2,0,0,47.931,,24.185
T. GLOCK,3,40,24,91.195,90.467,3880.338,84.273,171.321,1,41,2,0,0,47.931,,4.147
T. GLOCK,3,41,24,92.717,92.045,3973.055,2.415,176.99,2,43,2,0,0,47.931,,5.435
T. GLOCK,3,42,24,92.729,92.113,4065.784,8.346,182.426,2,44,2,0,0,47.931,,5.931
T. GLOCK,3,43,24,93.375,92.815,4159.159,14.173,188.519,2,45,2,0,0,47.931,,5.827
T. GLOCK,3,44,24,93.306,92.802,4252.465,20.333,195.027,2,46,2,0,0,47.931,,6.16
T. GLOCK,3,45,24,92.294,91.846,4344.759,25.154,199.773,2,47,2,0,0,47.931,,4.821
T. GLOCK,3,46,24,92.836,92.444,4437.595,30.798,205.463,2,48,2,0,0,47.931,,5.644
T. GLOCK,3,47,24,92.464,92.128,4530.059,36.705,210.454,2,49,2,0,0,47.931,,5.907
T. GLOCK,3,48,24,91.445,91.165,4621.504,40.731,214.707,2,50,2,0,0,47.931,,4.026
T. GLOCK,3,49,24,91.347,91.123,4712.851,44.745,219.497,2,51,2,0,0,47.931,,4.014
T. GLOCK,3,50,24,93.211,93.043,4806.062,50.3,225.289,2,52,2,0,0,47.931,,5.555
