driver,stint,lap,car,lapTime,fuelCorrectedLaptime,calcElapsedTime,calcTimeToLeader,calcGapToLeader,lapsBehind,carLapAsRaceLap,stopCount,stopTime,stoppingLap,totalStopTime,tyres,leaderTimedelta
T. GLOCK,1,1,24,114.73,110.471,114.73,14.473,14.473,0,1,0,0,0,0,,14.473
T. GLOCK,1,2,24,105.609,101.432,220.339,19.962,19.962,0,2,0,0,0,0,,5.489
T. GLOCK,1,3,24,104.981,100.886,325.32,25.091,25.091,0,3,0,0,0,0,,5.129
T. GLOCK,1,4,24,105.24,101.227,430.56,30.449,30.449,0,4,0,0,0,0,,5.358
T. GLOCK,1,5,24,104.82,100.889,535.38,35.486,35.486,0,5,0,0,0,0,,5.037
T. GLOCK,1,6,24,104.871,101.022,640.251,40.287,40.287,0,6,0,0,0,0,,4.801
T. GLOCK,1,7,24,104.784,101.017,745.035,43.871,43.871,0,7,0,0,0,0,,3.584
T. GLOCK,1,8,24,105.14,101.454,850.175,47.311,47.311,0,8,0,0,0,0,,3.44
T. GLOCK,1,9,24,104.783,101.179,954.958,47.307,47.307,0,9,0,0,0,0,,-0.004
T. GLOCK,1,10,24,105.323,101.801,1060.281,48.223,48.223,0,10,0,0,0,0,,2.619
T. GLOCK,1,11,24,105.939,102.499,1166.22,48.759,48.759,0,11,0,0,0,0,,2.64
T. GLOCK,1,12,24,108.976,105.618,1275.196,49.376,49.376,0,12,1,25.563,1,25.563,,9.511
T. GLOCK,2,13,24,126.462,123.186,1401.658,76.33,76.33,0,13,1,0,0,25.563,,26.954
T. GLOCK,2,14,24,103.86,100.666,1505.518,80.625,80.625,0,14,1,0,0,25.563,,4.295
T. GLOCK,2,15,24,103.626,100.514,1609.144,84.929,84.929,0,15,1,0,0,25.563,,4.304
T. GLOCK,2,16,24,104.287,101.257,1713.431,89.686,89.686,0,16,1,0,0,25.563,,4.757
T. GLOCK,2,17,24,103.874,100.926,1817.305,93.992,93.992,0,17,1,0,0,25.563,,4.306
T. GLOCK,2,18,24,103.771,100.904,1921.076,97.396,97.396,0,18,1,0,0,25.563,,3.404
T. GLOCK,2,19,24,106.99,104.205,2028.066,1.281,102.868,1,20,2,21.726,1,47.289,,5.403
T. GLOCK,3,20,24,122.947,120.244,2151.013,21.732,123.25,1,21,2,0,0,47.289,,21.429
T. GLOCK,3,21,24,104.69,102.069,2255.703,17.792,119.708,1,22,2,0,0,47.289,,2.774
T. GLOCK,3,22,24,104.504,101.965,2360.207,21.099,119.951,1,23,2,0,0,47.289,,5.652
T. GLOCK,3,23,24,115.717,113.26,2475.924,29.796,136.816,1,24,2,0,0,47.289,,8.697
T. GLOCK,3,24,24,125.713,123.338,2601.637,11.683,155.509,1,25,2,0,0,47.289,,-18.113
T. GLOCK,3,25,24,142.492,140.199,2744.129,6.294,154.175,1,26,2,0,0,47.289,,-5.389
T. GLOCK,3,26,24,151.827,149.616,2895.956,4.259,158.121,1,27,2,0,0,47.289,,-2.035
T. GLOCK,3,27,24,109.022,106.893,3004.978,15.705,113.281,1,28,2,0,0,47.289,,11.446
T. GLOCK,3,28,24,106.524,104.477,3111.502,24.702,122.229,1,29,2,0,0,47.289,,8.997
T. GLOCK,3,29,24,104.584,102.618,3216.086,31.767,129.286,1,30,2,0,0,47.289,,7.065
T. GLOCK,3,30,24,102.944,101.06,3319.03,36.897,134.711,1,31,2,0,0,47.289,,5.13
T. GLOCK,3,31,24,103.012,101.21,3422.042,41.769,139.909,1,32,2,0,0,47.289,,4.872
T. GLOCK,3,32,24,103.265,101.545,3525.307,46.859,145.034,1,33,2,0,0,47.289,,5.09
T. GLOCK,3,33,24,103.227,101.589,3628.534,51.768,150.086,1,34,2,0,0,47.289,,4.909
T. GLOCK,3,34,24,103.173,101.617,3731.707,56.291,154.941,1,35,2,0,0,47.289,,4.523
T. GLOCK,3,35,24,103.903,102.429,3835.61,59.414,160.194,1,36,2,0,0,47.289,,3.123
T. GLOCK,3,36,24,106.545,105.153,3942.155,65.265,164.948,1,37,3,22.877,1,70.166,,6.862
T. GLOCK,4,37,24,121.94,120.63,4064.095,79.214,177.511,1,38,3,0,0,70.166,,23.643
T. GLOCK,4,38,24,101.941,100.713,4166.036,82.785,181.155,1,39,3,0,0,70.166,,3.571
T. GLOCK,4,39,24,102.732,101.585,4268.768,87.318,185.517,1,40,3,0,0,70.166,,4.533
T. GLOCK,4,40,24,101.944,100.879,4370.712,89.886,188.672,1,41,3,0,0,70.166,,3.158
T. GLOCK,4,41,24,102.015,101.032,4472.727,94.606,191.901,1,42,3,0,0,70.166,,4.72
T. GLOCK,4,42,24,102.778,101.877,4575.505,0.899,197.384,2,44,3,0,0,70.166,,4.162
T. GLOCK,4,43,24,103.925,103.106,4679.43,7.004,203.44,2,45,3,0,0,70.166,,6.105
T. GLOCK,4,44,24,102.914,102.177,4782.344,11.807,207.738,2,46,3,0,0,70.166,,4.803
T. GLOCK,4,45,24,101.949,101.294,4884.293,15.487,211.867,2,47,3,0,0,70.166,,3.68
T. GLOCK,4,46,24,101.704,101.131,4985.997,19.192,215.46,2,48,3,0,0,70.166,,3.705
T. GLOCK,4,47,24,103.971,103.48,5089.968,25.753,221.162,2,49,3,0,0,70.166,,6.561
T. GLOCK,4,48,24,102.931,102.522,5192.899,31.381,226.094,2,50,3,0,0,70.166,,5.628
T. GLOCK,4,49,24,103.123,102.795,5296.022,37.93,231.807,2,51,3,0,0,70.166,,6.549
T. GLOCK,4,50,24,101.992,101.746,5398.014,43.354,236.496,2,52,3,0,0,70.166,,5.424
T. GLOCK,4,51,24,103.103,102.939,5501.117,47.69,243.025,2,53,3,0,0,70.166,,4.336
J. D'AMBROSIO,1,1,25,114.198,109.939,114.198,13.941,13.941,0,1,0,0,0,0,,13.941
J. D'AMBROSIO,1,2,25,105.676,101.499,219.874,19.497,19.497,0,2,0,0,0,0,,5.556
J. D'AMBROSIO,1,3,25,104.821,100.726,324.695,24.466,24.466,0,3,0,0,0,0,,4.969
J. D'AMBROSIO,1,4,25,105.088,101.075,429.783,29.672,29.672,0,4,0,0,0,0,,5.206
J. D'AMBROSIO,1,5,25,104.696,100.765,534.479,34.585,34.585,0,5,0,0,0,0,,4.913
J. D'AMBROSIO,1,6,25,104.552,100.703,639.031,39.067,39.067,0,6,0,0,0,0,,4.482
J. D'AMBROSIO,1,7,25,104.838,101.071,743.869,42.705,42.705,0,7,0,0,0,0,,3.638
J. D'AMBROSIO,1,8,25,104.861,101.175,848.73,45.866,45.866,0,8,0,0,0,0,,3.161
J. D'AMBROSIO,1,9,25,104.968,101.364,953.698,46.047,46.047,0,9,0,0,0,0,,0.181
J. D'AMBROSIO,1,10,25,105.095,101.573,1058.793,46.735,46.735,0,10,0,0,0,0,,2.391
J. D'AMBROSIO,1,11,25,105.854,102.414,1164.647,47.186,47.186,0,11,0,0,0,0,,2.555
J. D'AMBROSIO,1,12,25,105.263,101.905,1269.91,44.09,44.09,0,12,0,0,0,0,,5.798
J. D'AMBROSIO,1,13,25,109.379,106.103,1379.289,53.961,53.961,0,13,1,23.013,1,23.013,,9.871
J. D'AMBROSIO,2,14,25,124.427,121.233,1503.716,78.823,78.823,0,14,1,0,0,23.013,,24.862
J. D'AMBROSIO,2,15,25,103.181,100.069,1606.897,82.682,82.682,0,15,1,0,0,23.013,,3.859
