driver,stint,lap,car,lapTime,fuelCorrectedLaptime,calcElapsedTime,calcTimeToLeader,calcGapToLeader,lapsBehind,carLapAsRaceLap,stopCount,stopTime,stoppingLap,totalStopTime,tyres,leaderTimedelta
T. GLOCK,1,1,24,120.432,115.572,120.432,12.588,12.588,0,1,0,0,0,0,,12.588
T. GLOCK,1,2,24,111.018,106.248,231.45,18.139,18.139,0,2,0,0,0,0,,5.551
T. GLOCK,1,3,24,110.798,106.118,342.248,23.696,23.696,0,3,0,0,0,0,,5.557
T. GLOCK,1,4,24,109.644,105.054,451.892,28.229,28.229,0,4,0,0,0,0,,4.533
T. GLOCK,1,5,24,109.248,104.748,561.14,32.068,32.068,0,5,0,0,0,0,,3.839
T. GLOCK,1,6,24,109.263,104.853,670.403,36.01,36.01,0,6,0,0,0,0,,3.942
T. GLOCK,1,7,24,109.15,104.83,779.553,40.033,40.033,0,7,0,0,0,0,,4.023
T. GLOCK,1,8,24,108.867,104.637,888.42,43.832,43.832,0,8,0,0,0,0,,3.799
T. GLOCK,1,9,24,108.803,104.663,997.223,47.908,47.908,0,9,0,0,0,0,,4.076
T. GLOCK,1,10,24,108.837,104.787,1106.06,52.277,52.277,0,10,0,0,0,0,,4.369
T. GLOCK,1,11,24,110.011,106.051,1216.071,57.887,57.887,0,11,0,0,0,0,,5.61
T. GLOCK,1,12,24,109.668,105.798,1325.739,62.986,62.986,0,12,0,0,0,0,,5.099
T. GLOCK,1,13,24,109.058,105.278,1434.797,67.712,67.712,0,13,0,0,0,0,,4.726
T. GLOCK,1,14,24,110.01,106.32,1544.807,73.097,73.097,0,14,0,0,0,0,,5.385
T. GLOCK,1,15,24,109.072,105.472,1653.879,77.281,77.281,0,15,0,0,0,0,,4.184
T. GLOCK,1,16,24,130.013,126.503,1783.892,97.805,97.805,0,16,1,22.533,1,22.533,,20.524
T. GLOCK,2,17,24,153.146,149.726,1937.038,102.057,102.057,0,17,1,0,0,22.533,,4.252
T. GLOCK,2,18,24,120.969,117.639,2058.007,75.326,75.326,0,18,1,0,0,22.533,,-26.731
T. GLOCK,2,19,24,111.942,108.702,2169.949,19.994,19.994,0,19,1,0,0,22.533,,-55.332
T. GLOCK,2,20,24,146.627,143.477,2316.576,12.265,12.265,0,20,1,0,0,22.533,,-7.729
T. GLOCK,2,21,24,110.024,106.964,2426.6,19.757,19.757,0,21,1,0,0,22.533,,7.492
T. GLOCK,2,22,24,107.654,104.684,2534.254,25.142,25.142,0,22,1,0,0,22.533,,5.385
T. GLOCK,2,23,24,107.545,104.665,2641.799,30.267,30.267,0,23,1,0,0,22.533,,5.125
T. GLOCK,2,24,24,107.493,104.703,2749.292,35.456,35.456,0,24,1,0,0,22.533,,5.189
T. GLOCK,2,25,24,107.2,104.5,2856.492,40.043,40.043,0,25,1,0,0,22.533,,4.587
T. GLOCK,2,26,24,107.903,105.293,2964.395,45.207,45.207,0,26,1,0,0,22.533,,5.164
T. GLOCK,2,27,24,108.107,105.587,3072.502,50.353,50.353,0,27,1,0,0,22.533,,5.146
T. GLOCK,2,28,24,107.561,105.131,3180.063,55.245,55.245,0,28,1,0,0,22.533,,4.892
T. GLOCK,2,29,24,107.267,104.927,3287.33,59.84,59.84,0,29,1,0,0,22.533,,4.595
T. GLOCK,2,30,24,108.876,106.626,3396.206,66.452,66.452,0,30,1,0,0,22.533,,6.612
T. GLOCK,2,31,24,108.001,105.841,3504.207,72.02,72.02,0,31,1,0,0,22.533,,5.568
T. GLOCK,2,32,24,107.53,105.46,3611.737,77.269,77.269,0,32,1,0,0,22.533,,5.249
T. GLOCK,2,33,24,107.037,105.057,3718.774,82.262,82.262,0,33,1,0,0,22.533,,4.993
T. GLOCK,2,34,24,106.735,104.845,3825.509,83.261,83.261,0,34,1,0,0,22.533,,0.999
T. GLOCK,2,35,24,106.347,104.547,3931.856,75.075,75.075,0,35,1,0,0,22.533,,4.453
T. GLOCK,2,36,24,106.268,104.558,4038.124,79.699,79.699,0,36,1,0,0,22.533,,4.624
T. GLOCK,2,37,24,106.562,104.942,4144.686,81.523,81.523,0,37,1,0,0,22.533,,5.31
T. GLOCK,2,38,24,106.353,104.823,4251.039,86.649,86.649,0,38,1,0,0,22.533,,5.126
T. GLOCK,2,39,24,107.251,105.811,4358.29,92.33,92.33,0,39,1,0,0,22.533,,5.681
T. GLOCK,2,40,24,106.196,104.846,4464.486,97.326,97.326,0,40,1,0,0,22.533,,4.996
T. GLOCK,2,41,24,111.105,109.845,4575.591,6.017,107.353,1,42,2,22.481,1,45.014,,9.769
T. GLOCK,3,42,24,123.911,122.741,4699.502,28.825,129.928,1,43,2,0,0,45.014,,22.808
T. GLOCK,3,43,24,105.538,104.458,4805.04,33.295,134.363,1,44,2,0,0,45.014,,4.47
T. GLOCK,3,44,24,105.548,104.558,4910.588,38.164,138.843,1,45,2,0,0,45.014,,4.869
T. GLOCK,3,45,24,107.123,106.223,5017.711,43.989,145.287,1,46,2,0,0,45.014,,5.825
T. GLOCK,3,46,24,104.755,103.945,5122.466,47.52,148.744,1,47,2,0,0,45.014,,3.531
T. GLOCK,3,47,24,104.81,104.09,5227.276,51.383,152.33,1,48,2,0,0,45.014,,3.863
T. GLOCK,3,48,24,104.843,104.213,5332.119,55.231,156.226,1,49,2,0,0,45.014,,3.848
T. GLOCK,3,49,24,108.447,107.907,5440.566,62.314,163.678,1,50,2,0,0,45.014,,7.083
T. GLOCK,3,50,24,105.955,105.505,5546.521,67.433,168.269,1,51,2,0,0,45.014,,5.119
T. GLOCK,3,51,24,104.719,104.359,5651.24,71.346,172.152,1,52,2,0,0,45.014,,3.913
T. GLOCK,3,52,24,104.661,104.391,5755.901,75.08,176.007,1,53,2,0,0,45.014,,3.734
T. GLOCK,3,53,24,104.536,104.356,5860.437,78.048,179.616,1,54,2,0,0,45.014,,2.968
T. GLOCK,3,54,24,104.622,104.532,5965.059,83.065,182.67,1,55,2,0,0,45.014,,5.017
J. D'AMBROSIO,1,1,25,122.076,117.216,122.076,14.232,14.232,0,1,0,0,0,0,,14.232
J. D'AMBROSIO,1,2,25,111.635,106.865,233.711,20.4,20.4,0,2,0,0,0,0,,6.168
