driver,stint,lap,car,lapTime,fuelCorrectedLaptime,calcElapsedTime,calcTimeToLeader,calcGapToLeader,lapsBehind,carLapAsRaceLap,stopCount,stopTime,stoppingLap,totalStopTime,tyres
T. GLOCK,1,1,24,101.681,98.909,101.681,16.842,16.842,0,1,0,0,0,0,
T. GLOCK,1,2,24,84.804,82.068,186.485,21.377,21.377,0,2,0,0,0,0,
T. GLOCK,1,3,24,83.595,80.895,270.08,25.161,25.161,0,3,0,0,0,0,
T. GLOCK,1,4,24,82.998,80.334,353.078,28.674,28.674,0,4,0,0,0,0,
T. GLOCK,1,5,24,82.758,80.13,435.836,31.895,31.895,0,5,0,0,0,0,
T. GLOCK,1,6,24,82.831,80.239,518.667,34.97,34.97,0,6,0,0,0,0,
T. GLOCK,1,7,24,82.762,80.206,601.429,37.937,37.937,0,7,0,0,0,0,
T. GLOCK,1,8,24,82.957,80.437,684.386,41.506,41.506,0,8,0,0,0,0,
T. GLOCK,1,9,24,82.626,80.142,767.012,44.444,44.444,0,9,0,0,0,0,
T. GLOCK,1,10,24,82.579,80.131,849.591,47.465,47.465,0,10,0,0,0,0,
T. GLOCK,1,11,24,82.643,80.231,932.234,50.412,50.412,0,11,0,0,0,0,
T. GLOCK,1,12,24,82.737,80.361,1014.971,53.417,53.417,0,12,0,0,0,0,
T. GLOCK,1,13,24,82.265,79.925,1097.236,55.236,55.236,0,13,0,0,0,0,
T. GLOCK,1,14,24,82.486,80.182,1179.722,57.673,57.673,0,14,0,0,0,0,
T. GLOCK,1,15,24,83.066,80.798,1262.788,59.451,59.451,0,15,0,0,0,0,
T. GLOCK,1,16,24,82.777,80.545,1345.565,55.846,55.846,0,16,0,0,0,0,
T. GLOCK,1,17,24,82.51,80.314,1428.075,43.503,43.503,0,17,0,0,0,0,
T. GLOCK,1,18,24,82.221,80.061,1510.296,47.633,47.633,0,18,0,0,0,0,
T. GLOCK,1,19,24,82.575,80.451,1592.871,51.86,51.86,0,19,0,0,0,0,
T. GLOCK,1,20,24,82.496,80.408,1675.367,56.153,56.153,0,20,0,0,0,0,
T. GLOCK,1,21,24,83.922,81.87,1759.289,61.876,61.876,0,21,0,0,0,0,
T. GLOCK,1,22,24,102.778,100.762,1862.067,6.694,85.828,1,23,1,26.827,1,26.827,
T. GLOCK,2,23,24,90.573,88.593,1952.64,19.047,97.267,1,24,1,0,0,26.827,
T. GLOCK,2,24,24,83.237,81.293,2035.877,23.999,102.284,1,25,1,0,0,26.827,
T. GLOCK,2,25,24,82.92,81.012,2118.797,28.467,106.919,1,26,1,0,0,26.827,
T. GLOCK,2,26,24,82.656,80.784,2201.453,31.694,111.123,1,27,1,0,0,26.827,
T. GLOCK,2,27,24,82.737,80.901,2284.19,34.229,114.431,1,28,1,0,0,26.827,
T. GLOCK,2,28,24,83.194,81.394,2367.384,39.117,117.423,1,29,1,0,0,26.827,
T. GLOCK,2,29,24,82.514,80.75,2449.898,43.004,121.631,1,30,1,0,0,26.827,
T. GLOCK,2,30,24,82.102,80.374,2532,45.554,125.106,1,31,1,0,0,26.827,
J. D'AMBROSIO,1,1,25,102.729,99.957,102.729,17.89,17.89,0,1,0,0,0,0,
J. D'AMBROSIO,1,2,25,85.547,82.811,188.276,23.168,23.168,0,2,0,0,0,0,
J. D'AMBROSIO,1,3,25,84.482,81.782,272.758,27.839,27.839,0,3,0,0,0,0,
J. D'AMBROSIO,1,4,25,83.765,81.101,356.523,32.119,32.119,0,4,0,0,0,0,
J. D'AMBROSIO,1,5,25,83.368,80.74,439.891,35.95,35.95,0,5,0,0,0,0,
J. D'AMBROSIO,1,6,25,83.157,80.565,523.048,39.351,39.351,0,6,0,0,0,0,
J. D'AMBROSIO,1,7,25,82.958,80.402,606.006,42.514,42.514,0,7,0,0,0,0,
J. D'AMBROSIO,1,8,25,83.071,80.551,689.077,46.197,46.197,0,8,0,0,0,0,
J. D'AMBROSIO,1,9,25,83.11,80.626,772.187,49.619,49.619,0,9,0,0,0,0,
J. D'AMBROSIO,1,10,25,83.073,80.625,855.26,53.134,53.134,0,10,0,0,0,0,
J. D'AMBROSIO,1,11,25,82.923,80.511,938.183,56.361,56.361,0,11,0,0,0,0,
J. D'AMBROSIO,1,12,25,82.682,80.306,1020.865,59.311,59.311,0,12,0,0,0,0,
J. D'AMBROSIO,1,13,25,82.859,80.519,1103.724,61.724,61.724,0,13,0,0,0,0,
J. D'AMBROSIO,1,14,25,83.264,80.96,1186.988,64.939,64.939,0,14,0,0,0,0,
J. D'AMBROSIO,1,15,25,83.921,81.653,1270.909,67.572,67.572,0,15,0,0,0,0,
J. D'AMBROSIO,1,16,25,83.267,81.035,1354.176,64.457,64.457,0,16,0,0,0,0,
J. D'AMBROSIO,1,17,25,83.786,81.59,1437.962,53.39,53.39,0,17,0,0,0,0,
J. D'AMBROSIO,1,18,25,83.189,81.029,1521.151,58.488,58.488,0,18,0,0,0,0,
J. D'AMBROSIO,1,19,25,83.284,81.16,1604.435,63.424,63.424,0,19,0,0,0,0,
J. D'AMBROSIO,1,20,25,84.27,82.182,1688.705,69.491,69.491,0,20,0,0,0,0,
J. D'AMBROSIO,1,21,25,83.682,81.63,1772.387,74.974,74.974,0,21,0,0,0,0,
J. D'AMBROSIO,1,22,25,84.413,82.397,1856.8,1.427,80.561,1,23,0,0,0,0,
J. D'AMBROSIO,1,23,25,84.013,82.033,1940.813,7.22,85.44,1,24,0,0,0,0,
J. D'AMBROSIO,1,24,25,85.414,83.47,2026.227,14.349,92.634,1,25,0,0,0,0,
J. D'AMBROSIO,1,25,25,85.713,83.805,2111.94,21.61,100.062,1,26,0,0,0,0,
J. D'AMBROSIO,1,26,25,84.502,82.63,2196.442,26.683,106.112,1,27,0,0,0,0,
J. D'AMBROSIO,1,27,25,86.485,84.649,2282.927,32.966,113.168,1,28,0,0,0,0,
J. D'AMBROSIO,1,28,25,85.886,84.086,2368.813,40.546,118.852,1,29,0,0,0,0,
J. D'AMBROSIO,1,29,25,84.43,82.666,2453.243,46.349,124.976,1,30,0,0,0,0,
J. D'AMBROSIO,1,30,25,84.338,82.61,2537.581,51.135,130.687,1,31,0,0,0,0,
J. D'AMBROSIO,1,31,25,84.972,83.28,2622.553,56.936,136.107,1,32,0,0,0,0,
J. D'AMBROSIO,1,32,25,85.696,84.04,2708.249,49.761,129.274,1,33,0,0,0,0,
J. D'AMBROSIO,1,33,25,120.716,119.096,2828.965,84.194,170.477,1,34,1,27.577,1,27.577,
J. D'AMBROSIO,2,34,25,102.599,101.015,2931.564,57.868,186.793,1,35,1,0,0,27.577,
J. D'AMBROSIO,2,35,25,90.656,89.108,3022.22,27.028,148.524,1,36,1,0,0,27.577,
J. D'AMBROSIO,2,36,25,101.276,99.764,3123.496,10.698,128.304,1,37,1,0,0,27.577,
J. D'AMBROSIO,2,37,25,113.74,112.264,3237.236,9.222,124.438,1,38,1,0,0,27.577,
J. D'AMBROSIO,2,38,25,85.791,84.351,3323.027,13.977,95.013,1,39,1,0,0,27.577,
J. D'AMBROSIO,2,39,25,83.962,82.558,3406.989,17.736,97.939,1,40,1,0,0,27.577,
J. D'AMBROSIO,2,40,25,87.647,86.279,3494.636,25.723,105.383,1,41,1,0,0,27.577,
J. D'AMBROSIO,2,41,25,84.778,83.446,3579.414,31.256,110.501,1,42,1,0,0,27.577,
J. D'AMBROSIO,2,42,25,83.056,81.76,3662.47,34.565,114.312,1,43,1,0,0,27.577,
J. D'AMBROSIO,2,43,25,82.345,81.085,3744.815,37.635,116.91,1,44,1,0,0,27.577,
J. D'AMBROSIO,2,44,25,83.134,81.91,3827.949,41.545,120.769,1,45,1,0,0,27.577,
J. D'AMBROSIO,2,45,25,84.365,83.177,3912.314,46.594,125.91,1,46,1,0,0,27.577,
J. D'AMBROSIO,2,46,25,82.385,81.233,3994.699,49.94,128.979,1,47,1,0,0,27.577,
J. D'AMBROSIO,2,47,25,82.815,81.699,4077.514,53.564,132.755,1,48,1,0,0,27.577,
J. D'AMBROSIO,2,48,25,83.664,82.584,4161.178,57.772,137.228,1,49,1,0,0,27.577,
J. D'AMBROSIO,2,49,25,82.859,81.815,4244.037,61.317,140.631,1,50,1,0,0,27.577,
J. D'AMBROSIO,2,50,25,82.683,81.675,4326.72,64.529,144,1,51,1,0,0,27.577,
J. D'AMBROSIO,2,51,25,82.943,81.971,4409.663,68.073,147.472,1,52,1,0,0,27.577,
J. D'AMBROSIO,2,52,25,84.043,83.107,4493.706,72.529,152.116,1,53,1,0,0,27.577,
J. D'AMBROSIO,2,53,25,83.259,82.359,4576.965,75.961,155.788,1,54,1,0,0,27.577,
J. D'AMBROSIO,2,54,25,83.589,82.725,4660.554,0.079,159.55,2,56,1,0,0,27.577,
J. D'AMBROSIO,2,55,25,85.424,84.596,4745.978,6.158,165.466,2,57,1,0,0,27.577,
J. D'AMBROSIO,2,56,25,84.796,84.004,4830.774,11.736,170.299,2,58,1,0,0,27.577,
J. D'AMBROSIO,2,57,25,83.36,82.604,4914.134,16.025,174.314,2,59,1,0,0,27.577,
J. D'AMBROSIO,2,58,25,83.842,83.122,4997.976,20.821,178.938,2,60,1,0,0,27.577,
J. D'AMBROSIO,2,59,25,84.236,83.552,5082.212,25.868,184.103,2,61,1,0,0,27.577,
J. D'AMBROSIO,2,60,25,84.571,83.923,5166.783,30.812,189.628,2,62,1,0,0,27.577,
J. D'AMBROSIO,2,61,25,84.988,84.376,5251.771,36.053,195.427,2,63,1,0,0,27.577,
J. D'AMBROSIO,2,62,25,89.561,88.985,5341.332,46.291,205.361,2,64,1,0,0,27.577,
J. D'AMBROSIO,2,63,25,108.656,108.116,5449.988,75.136,234.27,2,65,2,26.464,1,54.041,
J. D'AMBROSIO,3,64,25,89.176,88.672,5539.164,4.419,244.123,3,67,2,0,0,54.041,
J. D'AMBROSIO,3,65,25,81.485,81.017,5620.649,6.125,245.797,3,68,2,0,0,54.041,
J. D'AMBROSIO,3,66,25,87.886,87.454,5708.535,8.299,254.201,3,69,2,0,0,54.041,
J. D'AMBROSIO,3,67,25,124.805,124.409,5833.34,3.575,298.595,3,70,2,0,0,54.041,
J. D'AMBROSIO,3,68,25,123.812,123.452,5957.152,3.732,342.628,3,71,2,0,0,54.041,
J. D'AMBROSIO,3,69,25,1314.798,1314.474,7271.95,5.489,1571.714,3,72,2,0,0,54.041,
J. D'AMBROSIO,3,70,25,123.648,123.36,7395.598,3.735,1565.833,3,73,2,0,0,54.041,
J. D'AMBROSIO,3,71,25,86.803,86.551,7482.401,12.323,1528.981,3,74,2,0,0,54.041,
J. D'AMBROSIO,3,72,25,87.27,87.054,7569.671,21.061,303.21,3,75,2,0,0,54.041,
J. D'AMBROSIO,3,73,25,85.501,85.321,7655.172,29.623,263.309,3,76,2,0,0,54.041,
J. D'AMBROSIO,3,74,25,81.572,81.428,7736.744,34.638,266.666,3,77,2,0,0,54.041,
J. D'AMBROSIO,3,75,25,81.391,81.283,7818.135,39.762,269.525,3,78,2,0,0,54.041,
H. KOVALAINEN,1,1,20,101.074,98.302,101.074,16.235,16.235,0,1,0,0,0,0,
H. KOVALAINEN,1,2,20,84.602,81.866,185.676,20.568,20.568,0,2,0,0,0,0,
H. KOVALAINEN,1,3,20,83.814,81.114,269.49,24.571,24.571,0,3,0,0,0,0,
H. KOVALAINEN,1,4,20,82.698,80.034,352.188,27.784,27.784,0,4,0,0,0,0,
H. KOVALAINEN,1,5,20,82.909,80.281,435.097,31.156,31.156,0,5,0,0,0,0,
H. KOVALAINEN,1,6,20,82.437,79.845,517.534,33.837,33.837,0,6,0,0,0,0,
H. KOVALAINEN,1,7,20,82.547,79.991,600.081,36.589,36.589,0,7,0,0,0,0,
H. KOVALAINEN,1,8,20,82.263,79.743,682.344,39.464,39.464,0,8,0,0,0,0,
