driver,stint,lap,car,lapTime,fuelCorrectedLaptime,calcElapsedTime,calcTimeToLeader,calcGapToLeader,lapsBehind,carLapAsRaceLap,stopCount,stopTime,stoppingLap,totalStopTime,tyres,leaderTimedelta
T. GLOCK,1,1,24,130.928,125.308,130.928,16.305,16.305,0,1,0,0,0,0,,16.305
T. GLOCK,1,2,24,117.849,112.339,248.777,23.23,23.23,0,2,0,0,0,0,,6.925
T. GLOCK,1,3,24,117.798,112.398,366.575,30.19,30.19,0,3,0,0,0,0,,6.96
T. GLOCK,1,4,24,116.833,111.543,483.408,36.01,36.01,0,4,0,0,0,0,,5.82
T. GLOCK,1,5,24,116.888,111.709,600.296,41.477,41.477,0,5,0,0,0,0,,5.467
T. GLOCK,1,6,24,116.147,111.078,716.443,45.932,45.932,0,6,0,0,0,0,,4.455
T. GLOCK,1,7,24,116.006,111.047,832.449,50.615,50.615,0,7,0,0,0,0,,4.683
T. GLOCK,1,8,24,115.938,111.089,948.387,55.614,55.614,0,8,0,0,0,0,,4.999
T. GLOCK,1,9,24,115.582,110.843,1063.969,60.686,60.686,0,9,0,0,0,0,,5.072
T. GLOCK,1,10,24,115.931,111.303,1179.9,66.246,66.246,0,10,0,0,0,0,,5.56
T. GLOCK,1,11,24,111.648,107.13,1291.548,67.594,67.594,0,11,1,25.416,1,25.416,,1.348
T. GLOCK,2,12,24,135.44,131.032,1426.988,92.869,92.869,0,12,1,0,0,25.416,,25.275
T. GLOCK,2,13,24,115.729,111.431,1542.717,101.215,101.215,0,13,1,0,0,25.416,,8.346
T. GLOCK,2,14,24,110.072,105.884,1652.789,82.551,82.551,0,14,1,0,0,25.416,,-18.664
T. GLOCK,2,15,24,108.548,104.471,1761.337,86.482,86.482,0,15,1,0,0,25.416,,3.931
T. GLOCK,2,16,24,107.307,103.34,1868.644,92.117,92.117,0,16,1,0,0,25.416,,5.635
T. GLOCK,2,17,24,105.985,102.128,1974.629,96.547,96.547,0,17,1,0,0,25.416,,4.43
T. GLOCK,2,18,24,108.28,104.533,2082.909,4.435,104.725,1,19,1,0,0,25.416,,7.99
T. GLOCK,2,19,24,107.123,103.486,2190.032,11.646,111.558,1,20,1,0,0,25.416,,7.211
T. GLOCK,2,20,24,106.914,103.388,2296.946,19.243,118.56,1,21,1,0,0,25.416,,7.597
T. GLOCK,2,21,24,104.348,100.932,2401.294,24.103,123.591,1,22,1,0,0,25.416,,4.86
T. GLOCK,2,22,24,103.011,99.705,2504.305,27.904,127.114,1,23,1,0,0,25.416,,3.801
T. GLOCK,2,23,24,103.098,99.902,2607.403,31.954,131.002,1,24,1,0,0,25.416,,4.05
T. GLOCK,2,24,24,102.423,99.337,2709.826,35.559,134.377,1,25,1,0,0,25.416,,3.605
T. GLOCK,2,25,24,101.885,98.91,2811.711,38.915,137.444,1,26,1,0,0,25.416,,3.356
T. GLOCK,2,26,24,104.81,101.945,2916.521,47.623,143.725,1,27,1,0,0,25.416,,8.708
T. GLOCK,2,27,24,103.173,100.418,3019.694,28.945,145.547,1,28,1,0,0,25.416,,-13.429
T. GLOCK,2,28,24,102.369,99.724,3122.063,34.245,131.314,1,29,1,0,0,25.416,,5.3
T. GLOCK,2,29,24,102.156,99.621,3224.219,39.598,136.401,1,30,1,0,0,25.416,,5.353
T. GLOCK,2,30,24,98.275,95.851,3322.494,41.751,137.873,1,31,2,24.959,1,50.375,,2.153
T. GLOCK,3,31,24,124.892,122.578,3447.386,70.874,166.643,1,32,2,0,0,50.375,,29.123
T. GLOCK,3,32,24,100.821,98.617,3548.207,75.367,171.695,1,33,2,0,0,50.375,,4.493
T. GLOCK,3,33,24,99.904,97.81,3648.111,78.649,175.271,1,34,2,0,0,50.375,,3.282
T. GLOCK,3,34,24,100.067,98.083,3748.178,81.244,178.716,1,35,2,0,0,50.375,,2.595
T. GLOCK,3,35,24,100.898,99.025,3849.076,86.024,182.142,1,36,2,0,0,50.375,,4.78
T. GLOCK,3,36,24,100.416,98.653,3949.492,90.025,186.44,1,37,2,0,0,50.375,,4.001
T. GLOCK,3,37,24,99.846,98.193,4049.338,93.161,189.871,1,38,2,0,0,50.375,,3.136
T. GLOCK,3,38,24,100.038,98.495,4149.376,99.808,193.199,1,39,2,0,0,50.375,,6.647
T. GLOCK,3,39,24,101.726,100.293,4251.102,88.157,201.534,1,40,2,0,0,50.375,,-11.651
T. GLOCK,3,40,24,100.999,99.677,4352.101,94.248,189.156,1,41,2,0,0,50.375,,6.091
T. GLOCK,3,41,24,101.96,100.748,4454.061,4.994,196.208,2,43,2,0,0,50.375,,6.08
T. GLOCK,3,42,24,100.182,99.08,4554.243,9.468,201.056,2,44,2,0,0,50.375,,4.474
T. GLOCK,3,43,24,99.849,98.857,4654.092,13.577,205.025,2,45,2,0,0,50.375,,4.109
T. GLOCK,3,44,24,103.448,102.566,4757.54,21.191,212.765,2,46,2,0,0,50.375,,7.614
T. GLOCK,3,45,24,103.218,102.447,4860.758,28.248,220.243,2,47,2,0,0,50.375,,7.057
T. GLOCK,3,46,24,103.003,102.342,4963.761,35.8,227.412,2,48,2,0,0,50.375,,7.552
T. GLOCK,3,47,24,101.837,101.286,5065.598,41.302,233.088,2,49,2,0,0,50.375,,5.502
T. GLOCK,3,48,24,100.847,100.406,5166.445,45.266,238.484,2,50,2,0,0,50.375,,3.964
T. GLOCK,3,49,24,99.811,99.48,5266.256,47.011,241.96,2,51,2,0,0,50.375,,1.745
T. GLOCK,3,50,24,102.202,101.982,5368.458,47.262,247.279,2,52,2,0,0,50.375,,0.251
J. D'AMBROSIO,1,1,25,132.334,126.714,132.334,17.711,17.711,0,1,0,0,0,0,,17.711
J. D'AMBROSIO,1,2,25,120.009,114.499,252.343,26.796,26.796,0,2,0,0,0,0,,9.085
J. D'AMBROSIO,1,3,25,119.094,113.694,371.437,35.052,35.052,0,3,0,0,0,0,,8.256
J. D'AMBROSIO,1,4,25,118.462,113.172,489.899,42.501,42.501,0,4,0,0,0,0,,7.449
J. D'AMBROSIO,1,5,25,119.051,113.872,608.95,50.131,50.131,0,5,0,0,0,0,,7.63
J. D'AMBROSIO,1,6,25,118.241,113.172,727.191,56.68,56.68,0,6,0,0,0,0,,6.549
J. D'AMBROSIO,1,7,25,118.289,113.33,845.48,63.646,63.646,0,7,0,0,0,0,,6.966
J. D'AMBROSIO,1,8,25,117.898,113.049,963.378,70.605,70.605,0,8,0,0,0,0,,6.959
