driver,stint,lap,car,lapTime,fuelCorrectedLaptime,calcElapsedTime,calcTimeToLeader,calcGapToLeader,lapsBehind,carLapAsRaceLap,stopCount,stopTime,stoppingLap,totalStopTime,tyres,leaderTimedelta
T. GLOCK,1,1,24,135.465,130.785,135.465,18.555,18.555,0,1,0,0,0,0,,18.555
T. GLOCK,1,2,24,122.555,117.953,258.02,25.646,25.646,0,2,0,0,0,0,,7.091
T. GLOCK,1,3,24,121.777,117.253,379.797,32.488,32.488,0,3,0,0,0,0,,6.842
T. GLOCK,1,4,24,121.186,116.74,500.983,39.413,39.413,0,4,0,0,0,0,,6.925
T. GLOCK,1,5,24,120.624,116.256,621.607,46.127,46.127,0,5,0,0,0,0,,6.714
T. GLOCK,1,6,24,120.412,116.122,742.019,52.244,52.244,0,6,0,0,0,0,,6.117
T. GLOCK,1,7,24,120.972,116.76,862.991,58.973,58.973,0,7,0,0,0,0,,6.729
T. GLOCK,1,8,24,121.085,116.951,984.076,65.853,65.853,0,8,0,0,0,0,,6.88
T. GLOCK,1,9,24,121.108,117.052,1105.184,72.693,72.693,0,9,0,0,0,0,,6.84
J. D'AMBROSIO,1,1,25,135.061,130.381,135.061,18.151,18.151,0,1,0,0,0,0,,18.151
J. D'AMBROSIO,1,2,25,122.228,117.626,257.289,24.915,24.915,0,2,0,0,0,0,,6.764
J. D'AMBROSIO,1,3,25,121.126,116.602,378.415,31.106,31.106,0,3,0,0,0,0,,6.191
J. D'AMBROSIO,1,4,25,120.583,116.137,498.998,37.428,37.428,0,4,0,0,0,0,,6.322
J. D'AMBROSIO,1,5,25,120.002,115.634,619,43.52,43.52,0,5,0,0,0,0,,6.092
J. D'AMBROSIO,1,6,25,120.424,116.134,739.424,49.649,49.649,0,6,0,0,0,0,,6.129
J. D'AMBROSIO,1,7,25,120.524,116.312,859.948,55.93,55.93,0,7,0,0,0,0,,6.281
J. D'AMBROSIO,1,8,25,120.707,116.573,980.655,62.432,62.432,0,8,0,0,0,0,,6.502
J. D'AMBROSIO,1,9,25,120.595,116.539,1101.25,68.759,68.759,0,9,0,0,0,0,,6.327
J. D'AMBROSIO,1,10,25,121.187,117.209,1222.437,75.427,75.427,0,10,0,0,0,0,,6.668
J. D'AMBROSIO,1,11,25,122.322,118.422,1344.759,82.668,82.668,0,11,0,0,0,0,,7.241
J. D'AMBROSIO,1,12,25,122.06,118.238,1466.819,88.819,88.819,0,12,0,0,0,0,,6.151
J. D'AMBROSIO,1,13,25,121.609,117.865,1588.428,93.507,93.507,0,13,0,0,0,0,,4.688
J. D'AMBROSIO,1,14,25,122.421,118.755,1710.849,90.75,90.75,0,14,0,0,0,0,,-2.757
J. D'AMBROSIO,1,15,25,122.21,118.622,1833.059,76.969,76.969,0,15,0,0,0,0,,-13.781
J. D'AMBROSIO,1,16,25,131.719,128.209,1964.778,95.419,95.419,0,16,1,31.763,1,31.763,,18.45
J. D'AMBROSIO,2,17,25,141.481,138.049,2106.259,9.619,123.177,1,18,1,0,0,31.763,,27.923
J. D'AMBROSIO,2,18,25,122.116,118.762,2228.375,17.976,131.735,1,19,1,0,0,31.763,,8.357
J. D'AMBROSIO,2,19,25,119.609,116.333,2347.984,23.475,137.585,1,20,1,0,0,31.763,,5.499
J. D'AMBROSIO,2,20,25,119.189,115.991,2467.173,29.551,142.664,1,21,1,0,0,31.763,,6.076
J. D'AMBROSIO,2,21,25,121.155,118.035,2588.328,37.035,150.706,1,22,1,0,0,31.763,,7.484
J. D'AMBROSIO,2,22,25,118.73,115.688,2707.058,42.205,155.765,1,23,1,0,0,31.763,,5.17
J. D'AMBROSIO,2,23,25,119.479,116.515,2826.537,48.583,161.684,1,24,1,0,0,31.763,,6.378
J. D'AMBROSIO,2,24,25,118.853,115.967,2945.39,54.05,167.436,1,25,1,0,0,31.763,,5.467
J. D'AMBROSIO,2,25,25,119.94,117.132,3065.33,60.148,173.99,1,26,1,0,0,31.763,,6.098
J. D'AMBROSIO,2,26,25,118.934,116.204,3184.264,65.4,179.082,1,27,1,0,0,31.763,,5.252
J. D'AMBROSIO,2,27,25,119.85,117.198,3304.114,69.367,185.25,1,28,1,0,0,31.763,,3.967
