driver,stint,lap,car,lapTime,fuelCorrectedLaptime,calcElapsedTime,calcTimeToLeader,calcGapToLeader,lapsBehind,carLapAsRaceLap,stopCount,stopTime,stoppingLap,totalStopTime,tyres
T. GLOCK,1,1,24,107.556,105.216,107.556,13.062,13.062,0,1,0,0,0,0,SU
T. GLOCK,1,2,24,96.456,94.152,204.012,18.706,18.706,0,2,0,0,0,0,SU
T. GLOCK,1,3,24,95.865,93.597,299.877,23.965,23.965,0,3,0,0,0,0,SU
T. GLOCK,1,4,24,95.863,93.631,395.74,29.816,29.816,0,4,0,0,0,0,SU
T. GLOCK,1,5,24,95.34,93.144,491.08,34.838,34.838,0,5,0,0,0,0,SU
T. GLOCK,1,6,24,95.206,93.046,586.286,40.005,40.005,0,6,0,0,0,0,SU
T. GLOCK,1,7,24,95.231,93.107,681.517,45.229,45.229,0,7,0,0,0,0,SU
T. GLOCK,1,8,24,95.914,93.826,777.431,50.979,50.979,0,8,0,0,0,0,SU
T. GLOCK,1,9,24,95.579,93.527,873.01,56.255,56.255,0,9,0,0,0,0,SU
T. GLOCK,1,10,24,95.306,93.29,968.316,58.736,58.736,0,10,0,0,0,0,SU
T. GLOCK,1,11,24,95.491,93.511,1063.807,60.274,60.274,0,11,0,0,0,0,SU
T. GLOCK,1,12,24,95.6,93.656,1159.407,52.282,52.282,0,12,0,0,0,0,SU
T. GLOCK,1,13,24,96.679,94.771,1256.086,59.152,59.152,0,13,0,0,0,0,SU
T. GLOCK,1,14,24,95.204,93.332,1351.29,64.578,64.578,0,14,0,0,0,0,SU
T. GLOCK,1,15,24,96.371,94.535,1447.661,71.093,71.093,0,15,0,0,0,0,SU
T. GLOCK,1,16,24,99.174,97.374,1546.835,80.369,80.369,0,16,1,22.744,1,22.744,SN
T. GLOCK,2,17,24,113.867,112.103,1660.702,13.445,103.92,1,18,1,0,0,22.744,SN
T. GLOCK,2,18,24,93.553,91.825,1754.255,16.448,106.051,1,19,1,0,0,22.744,SN
T. GLOCK,2,19,24,95.174,93.482,1849.429,23.598,111.622,1,20,1,0,0,22.744,SN
